distribusi,parameter,k,loglik,AIC,BIC,KS_D,KS_p_asimtotik,KS_p_bootstrap,AD_A2,dAIC,bobot_Akaike
Gamma,"3.371, 0, 8.982e+04",2,-3997.7116574993115,7999.423314998623,8006.8308799479355,0.022513094746870355,0.997291348170047,0.981018981018981,0.18992284726766684,0.0,0.7258738125129808
Gumbel,"2.288e+05, 1.252e+05",2,-3998.6982437884794,8001.396487576959,8008.804052526271,0.03084903479324097,0.9291479606787294,0.7292707292707292,0.28035737704652774,1.9731725783358343,0.2706401012496323
Weibull,"1.939, 0, 3.425e+05",2,-4003.086084236269,8010.172168472538,8017.5797334218505,0.04912864556108365,0.4496730893354134,0.08491508491508491,1.2500180802011869,10.748853473915005,0.003363390191290991
Lognormal,"0.5889, 0, 2.592e+05",2,-4006.397078839037,8016.794157678074,8024.2017226273865,0.046199270341689136,0.5285789969252499,0.11988011988011989,1.0389397360901285,17.370842679451016,0.00012269604609202545
Normal,"3.028e+05, 1.654e+05",2,-4030.585947691937,8065.171895383874,8072.579460333186,0.08501505944962373,0.024626393212023534,0.000999000999000999,4.962751482832516,65.74858038525053,3.834760995813787e-15
Eksponensial,"0, 3.028e+05",1,-4086.254945110735,8174.50989022147,8178.213672696126,0.24637342778963983,1.5957386900570718e-16,0.000999000999000999,30.64348719046444,175.0865752228474,6.938960116107484e-39
